N: 10
J1/J2 START: 0.8
J1/J2 END: 1.4
datapoints: 50000
caculation time with 16 threads: 5485.58 seconds

J1/J2	Delta E in J2
0.809432	0.122343
0.809444	0.122334
0.809456	0.122325
0.809468	0.122316
0.80948	0.122307
0.809492	0.122298
0.809504	0.122289
0.809516	0.12228
0.809528	0.122271
0.80954	0.122262
0.809552	0.122254
0.809564	0.122245
0.809576	0.122236
0.809588	0.122227
0.8096	0.122218
0.809612	0.122209
0.809624	0.1222
0.809636	0.122191
0.809648	0.122182
0.80966	0.122173
0.809672	0.122164
0.809684	0.122155
0.809696	0.122146
0.809708	0.122137
0.80972	0.122129
0.809732	0.12212
0.809744	0.122111
0.809756	0.122102
0.809768	0.122093
0.80978	0.122084
0.809792	0.122075
0.809804	0.122066
0.809816	0.122057
0.809828	0.122048
0.80984	0.122039
0.809852	0.12203
0.809864	0.122021
0.809876	0.122013
0.809888	0.122004
0.8099	0.121995
0.809912	0.121986
0.809924	0.121977
0.809936	0.121968
0.809948	0.121959
0.80996	0.12195
0.809972	0.121941
0.809984	0.121932
0.809996	0.121923
0.810008	0.121914
0.81002	0.121905
0.810032	0.121897
0.810044	0.121888
0.810056	0.121879
0.810068	0.12187
0.81008	0.121861
0.810092	0.121852
0.810104	0.121843
0.810116	0.121834
0.810128	0.121825
0.81014	0.121816
0.810152	0.121807
0.810164	0.121798
0.810176	0.12179
0.810188	0.121781
0.8102	0.121772
0.810212	0.121763
0.810224	0.121754
0.810236	0.121745
0.810248	0.121736
0.81026	0.121727
0.810272	0.121718
0.810284	0.121709
0.810296	0.1217
0.810308	0.121691
0.81032	0.121682
0.810332	0.121674
0.810344	0.121665
0.810356	0.121656
0.810368	0.121647
0.81038	0.121638
0.810392	0.121629
0.810404	0.12162
0.810416	0.121611
0.810428	0.121602
0.81044	0.121593
0.810452	0.121584
0.810464	0.121575
0.810476	0.121567
0.810488	0.121558
0.8105	0.121549
0.810512	0.12154
0.810524	0.121531
0.810536	0.121522
0.810548	0.121513
0.81056	0.121504
0.810572	0.121495
0.810584	0.121486
0.810596	0.121477
0.810608	0.121468
0.81062	0.121459
0.810632	0.121451
0.810644	0.121442
0.810656	0.121433
0.810668	0.121424
0.81068	0.121415
0.810692	0.121406
0.810704	0.121397
0.810716	0.121388
0.810728	0.121379
0.81074	0.12137
0.810752	0.121361
0.810764	0.121352
0.810776	0.121344
0.810788	0.121335
0.8108	0.121326
0.810812	0.121317
0.810824	0.121308
0.810836	0.121299
0.810848	0.12129
0.81086	0.121281
0.810872	0.121272
0.810884	0.121263
0.810896	0.121254
0.810908	0.121245
0.81092	0.121237
0.810932	0.121228
0.810944	0.121219
0.810956	0.12121
0.810968	0.121201
0.81098	0.121192
0.810992	0.121183
0.811004	0.121174
0.811016	0.121165
0.811028	0.121156
0.81104	0.121147
0.811052	0.121138
0.811064	0.12113
0.811076	0.121121
0.811088	0.121112
0.8111	0.121103
0.811112	0.121094
0.811124	0.121085
0.811136	0.121076
0.811148	0.121067
0.81116	0.121058
0.811172	0.121049
0.811184	0.12104
0.811196	0.121032
0.811208	0.121023
0.81122	0.121014
0.811232	0.121005
0.811244	0.120996
0.811256	0.120987
0.811268	0.120978
0.81128	0.120969
0.811292	0.12096
0.811304	0.120951
0.811316	0.120942
0.811328	0.120933
0.81134	0.120925
0.811352	0.120916
0.811364	0.120907
0.811376	0.120898
0.811388	0.120889
0.8114	0.12088
0.811412	0.120871
0.811424	0.120862
0.811436	0.120853
0.811448	0.120844
0.81146	0.120835
0.811472	0.120827
0.811484	0.120818
0.811496	0.120809
0.811508	0.1208
0.81152	0.120791
0.811532	0.120782
0.811544	0.120773
0.811556	0.120764
0.811568	0.120755
0.81158	0.120746
0.811592	0.120737
0.811604	0.120728
0.811616	0.12072
0.811628	0.120711
0.81164	0.120702
0.811652	0.120693
0.811664	0.120684
0.811676	0.120675
0.811688	0.120666
0.8117	0.120657
0.811712	0.120648
0.811724	0.120639
0.811736	0.12063
0.811748	0.120622
0.81176	0.120613
0.811772	0.120604
0.811784	0.120595
0.811796	0.120586
0.811808	0.120577
0.81182	0.120568
0.811832	0.120559
0.811844	0.12055
0.811856	0.120541
0.811868	0.120532
0.81188	0.120524
0.811892	0.120515
0.811904	0.120506
0.811916	0.120497
0.811928	0.120488
0.81194	0.120479
0.811952	0.12047
0.811964	0.120461
0.811976	0.120452
0.811988	0.120443
0.812	0.120434
0.812012	0.120426
0.812024	0.120417
0.812036	0.120408
0.812048	0.120399
0.81206	0.12039
0.812072	0.120381
0.812084	0.120372
0.812096	0.120363
0.812108	0.120354
0.81212	0.120345
0.812132	0.120336
0.812144	0.120328
0.812156	0.120319
0.812168	0.12031
0.81218	0.120301
0.812192	0.120292
0.812204	0.120283
0.812216	0.120274
0.812228	0.120265
0.81224	0.120256
0.812252	0.120247
0.812264	0.120238
0.812276	0.12023
0.812288	0.120221
0.8123	0.120212
0.812312	0.120203
0.812324	0.120194
0.812336	0.120185
0.812348	0.120176
0.81236	0.120167
0.812372	0.120158
0.812384	0.120149
0.812396	0.120141
0.812408	0.120132
0.81242	0.120123
0.812432	0.120114
0.812444	0.120105
0.812456	0.120096
0.812468	0.120087
0.81248	0.120078
0.812492	0.120069
0.812504	0.12006
0.812516	0.120051
0.812528	0.120043
0.81254	0.120034
0.812552	0.120025
0.812564	0.120016
0.812576	0.120007
0.812588	0.119998
0.8126	0.119989
0.812612	0.11998
0.812624	0.119971
0.812636	0.119962
0.812648	0.119953
0.81266	0.119945
0.812672	0.119936
0.812684	0.119927
0.812696	0.119918
0.812708	0.119909
0.81272	0.1199
0.812732	0.119891
0.812744	0.119882
0.812756	0.119873
0.812768	0.119864
0.81278	0.119856
0.812792	0.119847
0.812804	0.119838
0.812816	0.119829
0.812828	0.11982
0.81284	0.119811
0.812852	0.119802
0.812864	0.119793
0.812876	0.119784
0.812888	0.119775
0.8129	0.119767
0.812912	0.119758
0.812924	0.119749
0.812936	0.11974
0.812948	0.119731
0.81296	0.119722
0.812972	0.119713
0.812984	0.119704
0.812996	0.119695
0.813008	0.119686
0.81302	0.119678
0.813032	0.119669
0.813044	0.11966
0.813056	0.119651
0.813068	0.119642
0.81308	0.119633
0.813092	0.119624
0.813104	0.119615
0.813116	0.119606
0.813128	0.119597
0.81314	0.119588
0.813152	0.11958
0.813164	0.119571
0.813176	0.119562
0.813188	0.119553
0.8132	0.119544
0.813212	0.119535
0.813224	0.119526
0.813236	0.119517
0.813248	0.119508
0.81326	0.119499
0.813272	0.119491
0.813284	0.119482
0.813296	0.119473
0.813308	0.119464
0.81332	0.119455
0.813332	0.119446
0.813344	0.119437
0.813356	0.119428
0.813368	0.119419
0.81338	0.11941
0.813392	0.119402
0.813404	0.119393
0.813416	0.119384
0.813428	0.119375
0.81344	0.119366
0.813452	0.119357
0.813464	0.119348
0.813476	0.119339
0.813488	0.11933
0.8135	0.119322
0.813512	0.119313
0.813524	0.119304
0.813536	0.119295
0.813548	0.119286
0.81356	0.119277
0.813572	0.119268
0.813584	0.119259
0.813596	0.11925
0.813608	0.119241
0.81362	0.119233
0.813632	0.119224
0.813644	0.119215
0.813656	0.119206
0.813668	0.119197
0.81368	0.119188
0.813692	0.119179
0.813704	0.11917
0.813716	0.119161
0.813728	0.119152
0.81374	0.119144
0.813752	0.119135
0.813764	0.119126
0.813776	0.119117
0.813788	0.119108
0.8138	0.119099
0.813812	0.11909
0.813824	0.119081
0.813836	0.119072
0.813848	0.119063
0.81386	0.119055
0.813872	0.119046
0.813884	0.119037
0.813896	0.119028
0.813908	0.119019
0.81392	0.11901
0.813932	0.119001
0.813944	0.118992
0.813956	0.118983
0.813968	0.118975
0.81398	0.118966
0.813992	0.118957
0.814004	0.118948
0.814016	0.118939
0.814028	0.11893
0.81404	0.118921
0.814052	0.118912
0.814064	0.118903
0.814076	0.118894
0.814088	0.118886
0.8141	0.118877
0.814112	0.118868
0.814124	0.118859
0.814136	0.11885
0.814148	0.118841
0.81416	0.118832
0.814172	0.118823
0.814184	0.118814
0.814196	0.118806
0.814208	0.118797
0.81422	0.118788
0.814232	0.118779
0.814244	0.11877
0.814256	0.118761
0.814268	0.118752
0.81428	0.118743
0.814292	0.118734
0.814304	0.118726
0.814316	0.118717
0.814328	0.118708
0.81434	0.118699
0.814352	0.11869
0.814364	0.118681
0.814376	0.118672
0.814388	0.118663
0.8144	0.118654
0.814412	0.118645
0.814424	0.118637
0.814436	0.118628
0.814448	0.118619
0.81446	0.11861
0.814472	0.118601
0.814484	0.118592
0.814496	0.118583
0.814508	0.118574
0.81452	0.118565
0.814532	0.118557
0.814544	0.118548
0.814556	0.118539
0.814568	0.11853
0.81458	0.118521
0.814592	0.118512
0.814604	0.118503
0.814616	0.118494
0.814628	0.118485
0.81464	0.118477
0.814652	0.118468
0.814664	0.118459
0.814676	0.11845
0.814688	0.118441
0.8147	0.118432
0.814712	0.118423
0.814724	0.118414
0.814736	0.118405
0.814748	0.118397
0.81476	0.118388
0.814772	0.118379
0.814784	0.11837
0.814796	0.118361
0.814808	0.118352
0.81482	0.118343
0.814832	0.118334
0.814844	0.118325
0.814856	0.118317
0.814868	0.118308
0.81488	0.118299
0.814892	0.11829
0.814904	0.118281
0.814916	0.118272
0.814928	0.118263
0.81494	0.118254
0.814952	0.118245
0.814964	0.118237
0.814976	0.118228
0.814988	0.118219
0.815	0.11821
0.815012	0.118201
0.815024	0.118192
0.815036	0.118183
0.815048	0.118174
0.81506	0.118165
0.815072	0.118157
0.815084	0.118148
0.815096	0.118139
0.815108	0.11813
0.81512	0.118121
0.815132	0.118112
0.815144	0.118103
0.815156	0.118094
0.815168	0.118085
0.81518	0.118077
0.815192	0.118068
0.815204	0.118059
0.815216	0.11805
0.815228	0.118041
0.81524	0.118032
0.815252	0.118023
0.815264	0.118014
0.815276	0.118005
0.815288	0.117997
0.8153	0.117988
0.815312	0.117979
0.815324	0.11797
0.815336	0.117961
0.815348	0.117952
0.81536	0.117943
0.815372	0.117934
0.815384	0.117926
0.815396	0.117917
0.815408	0.117908
0.81542	0.117899
0.815432	0.11789
0.815444	0.117881
0.815456	0.117872
0.815468	0.117863
0.81548	0.117854
0.815492	0.117846
0.815504	0.117837
0.815516	0.117828
0.815528	0.117819
0.81554	0.11781
0.815552	0.117801
0.815564	0.117792
0.815576	0.117783
0.815588	0.117774
0.8156	0.117766
0.815612	0.117757
0.815624	0.117748
0.815636	0.117739
0.815648	0.11773
0.81566	0.117721
0.815672	0.117712
0.815684	0.117703
0.815696	0.117695
0.815708	0.117686
0.81572	0.117677
0.815732	0.117668
0.815744	0.117659
0.815756	0.11765
0.815768	0.117641
0.81578	0.117632
0.815792	0.117623
0.815804	0.117615
0.815816	0.117606
0.815828	0.117597
0.81584	0.117588
0.815852	0.117579
0.815864	0.11757
0.815876	0.117561
0.815888	0.117552
0.8159	0.117544
0.815912	0.117535
0.815924	0.117526
0.815936	0.117517
0.815948	0.117508
0.81596	0.117499
0.815972	0.11749
0.815984	0.117481
0.815996	0.117472
0.816008	0.117464
0.81602	0.117455
0.816032	0.117446
0.816044	0.117437
0.816056	0.117428
0.816068	0.117419
0.81608	0.11741
0.816092	0.117401
0.816104	0.117393
0.816116	0.117384
0.816128	0.117375
0.81614	0.117366
0.816152	0.117357
0.816164	0.117348
0.816176	0.117339
